id,name,description
23,GitHub,"Cloud-based hosting service for version control and software collaboration utilizing git, featuring code sharing and CI/CD tools."
24,GitLab,"Comprehensive DevOps platform providing a single application for the entire software development lifecycle, security, and hosting."
25,Datadog,"Monitoring and security platform for cloud-scale applications, providing full-stack observability, metrics, and log management."
26,Snowflake,"Cloud-based data warehousing and analytics platform enabling seamless data storage, processing, and analytic solutions."
27,Palantir,Analytical software company specializing in big data analytics integration platforms for government agencies and financial institutions.
28,Canva,"Graphic design platform used to create social media graphics, presentations, posters, documents, and visual digital content easily."
29,Figma,"Collaborative web-based interface design tool used for UI/UX prototyping, vector graphics creation, and design system management."
30,Shopify,"Global e-commerce platform enabling merchants to build online stores, manage retail points of sale, and scale payment gateways."
31,Squarespace,"Website building and hosting platform providing SaaS for website creation, blogging tools, and e-commerce store configurations."
32,Wix,Cloud-based web development platform allowing users to create HTML5 websites and mobile sites through online drag-and-drop tools.
33,WordPress,"Open-source content management system powering a massive percentage of global websites, blogs, and customized e-commerce stores."
34,HubSpot,"Inbound marketing, sales, and customer service SaaS platform providing software tools for social media marketing and content management."
35,Twilio,"Cloud communications platform as a service enabling developers to programmatically make phone calls, send text messages, and web chat."
36,Stripe,Financial infrastructure platform providing payment processing software and application programming interfaces for internet businesses.
37,PayPal,Global digital payments processing company operating a worldwide online payments system supporting electronic money transfers.
38,Square,"Block subsidiary providing financial services, mobile merchant payment processing aggregators, and small business hardware solutions."
39,Adyen,"Global payment company allowing businesses to accept e-commerce, mobile, and point-of-sale payments across unified global channels."
40,Coinbase,"Digital currency exchange platform providing infrastructure for trading, investing, storing, and utilizing cryptographic assets."
41,Binance,"Global cryptocurrency platform providing exchange ecosystems, blockchain infrastructure, digital wallets, and decentralized finance networks."
42,Asana,"Web and mobile application designed to help teams organize, track, manage, and optimize their daily corporate workflows."
43,Monday.com,"Cloud-based work operating system where teams can create custom workflow applications to run projects, processes, and tasks."
44,Notion,"All-in-one collaborative workspace application for note-taking, knowledge management, databases, project tracking, and documentation."
45,Trello,"Visual team collaboration tool utilizing Kanban boards, lists, and cards to organize projects and prioritize tasks flexibly."
46,Amazon Retail,"Global e-commerce marketplace dominating online retail, consumer logistics, third-party merchant hosting, and prime delivery services."
47,Walmart,"Multinational retail corporation operating a massive global chain of hypermarkets, discount department stores, and grocery outlets."
48,Flipkart,"Major Indian e-commerce marketplace competing across consumer electronics, fashion apparel, home essentials, and grocery delivery networks."
49,Myntra,"Premium Indian fashion and lifestyle e-commerce platform showcasing domestic and international apparel brands, cosmetics, and accessories."
50,Nykaa,"Indian lifestyle retail platform specializing in beauty, wellness, cosmetics, luxury skincare, and curated fashion apparel stores."
51,Ajio,"Reliance Retail digital fashion marketplace offering handpicked trendy western apparel, traditional ethnic wear, and luxury global brands."
52,Tata CliQ,"Omnichannel e-commerce platform offering premium multi-brand fashion retail, luxury accessories, and consumer electronics."
53,eBay,Global e-commerce platform facilitating consumer-to-consumer and business-to-consumer sales through auction-style trading and instant purchasing.
54,Alibaba,Global wholesale trade platform connecting international manufacturers with worldwide business buyers and massive supply chains.
55,AliExpress,Online retail service made up of small businesses offering affordable consumer products to international online buyers.
56,Target,"Large-scale general merchandise discount retailer providing everyday consumer goods, home decor, clothing, and grocery options."
57,Costco,"Membership-only wholesale warehouse club providing bulk grocery items, consumer electronics, apparel, and hardware supplies."
58,Nike,"Global athletic footwear, performance sportswear, active apparel, equipment, and sports lifestyle accessory designer and manufacturer."
59,Adidas,"Multinational corporation designing and manufacturing athletic shoes, sportswear, causal apparel, and sporting gear."
60,Puma,"Global sports brand designing, developing, and selling casual and athletic footwear, apparel, and performance running gear."
61,Under Armour,"Performance athletic apparel brand specializing in branded sportswear, casual footwear, and moisture-wicking athletic gear."
62,Zara,"Inditex subsidiary dominating fast-fashion apparel retail with highly responsive production, global trend translation, and modern stores."
63,H&M,"Multinational clothing retail company known for its fast-fashion clothing options for men, women, teenagers, and children."
64,Uniqlo,"Japanese casual wear designer and retailer focusing on minimalist high-quality basics, innovative fabric tech, and functional apparel."
65,ASOS,"Global online fashion and cosmetic retailer aimed primarily at young adults, offering multi-brand clothes and beauty products."
66,Shein,Ultra-fast-fashion digital marketplace leveraging algorithm-driven supply chains to retail extremely affordable clothing items globally.
67,Louis Vuitton,"Iconic French luxury fashion house manufacturing high-end leather goods, monogram handbags, trunk luggage, ready-to-wear apparel, and luxury accessories."
68,Gucci,"High-end Italian luxury fashion brand specializing in premium leather accessories, designer clothing, footwear, and luxury lifestyle products."
69,Chanel,"Private French luxury brand focusing on high fashion, ready-to-wear designer clothes, luxury goods, fragrances, and fine jewelry."
70,Hermes,"Ultra-luxury French manufacturer specializing in handmade leather goods, iconic Birkin handbags, silk scarves, and luxury lifestyle items."
71,Prada,"Italian luxury fashion house specializing in leather handbags, travel accessories, designer footwear, ready-to-wear clothing, and runway fashion."
72,Rolex,"Iconic luxury watch manufacturer known for precision chronometers, prestigious horology engineering, and high-value timepieces."
73,Sephora,"Global personal care and beauty retail chain featuring thousands of cosmetics, skincare, body lotions, and hair styling products."
74,LVMH,"Luxury goods conglomerate controlling premier institutions across wines, fashion apparel, leather accessories, perfumes, and high-end cosmetics."
75,FabIndia,"Indian retail chain sourcing traditional handloom fabrics and artisanal ethnic wear, organic foods, and handcrafted home furnishings."
76,Sabyasachi,"Ultra-premium Indian luxury bridal couture designer house globally renowned for intricate traditional Indian embroidery, handloom lehengas, and heritage jewelry."
77,Manyavar,"Vedant Fashions retail network leading the traditional Indian celebratory ethnic wear market for men and women, featuring sherwanis and lehengas."
78,Reliance Trends,"Mass-market apparel retail chain offering affordable everyday casual wear, formal attire, and western fashion concepts across India."
79,Pantaloons,"Aditya Birla Group multi-brand family fashion retail store network showcasing casual, formal, and ethnic apparel trends."
80,Shoppers Stop,"Premier Indian department store chain retailing premium cosmetics, domestic clothing brands, luxury accessories, and home goods."
81,Lifestyle Stores,"Large-format department store chain bringing together leading international and national fashion apparel, footwear, and handbag brands."
82,Decathlon,"Massive French sporting goods retailer designing and selling hyper-affordable gear, athletic apparel, and outdoor equipment for 80+ sports."
83,IKEA,"Global home furnishings retail giant famous for ready-to-assemble minimalist furniture, kitchen appliances, and flat-pack home accessories."
84,Wayfair,"E-commerce platform focused entirely on home furnishings, decor, kitchen appliances, furniture sets, and outdoor patio goods."
85,Carrefour,"Multinational hypermarket and retail group operating extensive grocery stores, cash-and-carry wholesale warehouses, and convenience marts."
86,McDonalds,"World's largest quick-service restaurant chain famous for hamburgers, fast-food franchises, automated drive-thrus, and standardized logistics."
87,Starbucks,"Global coffeehouse chain and roastery reserve serving premium specialty coffee espresso drinks, snacks, and branded mugs."
88,Subway,"Fast-food franchise specializing in customizable submarine sandwiches, fresh salads, and health-focused quick-service options."
89,KFC,"Yum! Brands subsidiary specializing in southern fried chicken buckets, fast-food franchises, and quick-service meals globally."
90,Pizza Hut,"Global pizza restaurant franchise offering signature deep-dish pizzas, pasta side items, and quick residential delivery options."
91,Dominos,"Global pizza delivery giant utilizing advanced logistics, mobile ordering tech, and fast distribution fulfillment networks."
92,Burger King,"Fast-food hamburger chain famous for flame-broiled burgers, competitive quick-service franchises, and global value menus."
93,Coca-Cola,"Global beverage corporation manufacturing concentrate syrups for carbonated soft drinks, juices, bottled water brands, and energy drinks."
94,PepsiCo,"Food and beverage conglomerate managing massive portfolio brands across soft drinks, Frito-Lay snacks, Quaker oats, and sports energy beverages."
95,Nestle,"Massive global food and drink processing conglomerate producing baby food, bottled water, breakfast cereals, coffee, dairy, and confectionery products."
96,Unilever,"Consumer goods giant manufacturing massive portfolios across packaged foods, ice creams, household cleaning agents, and personal care cosmetics."
97,ITC Food,"Major Indian conglomerate food division managing popular consumer packaged goods brands across staples, snacks, biscuits, and confectionery."
98,Amul,"Indian dairy cooperative society processing milk, butter, cheese, ice cream, and dairy alternatives with a massive nationwide supply network."
99,Britannia,"Leading Indian food company specializing in manufacturing premium biscuits, bakery breads, cakes, dairy goods, and snack rusks."
100,Haldirams,"Indian sweets, traditional savory snacks, and fast-casual restaurant chain operating nationwide packaged food distribution models."
101,Zomato,"Indian food delivery aggregator, hyper-local search engine, and restaurant review platform expanding into quick-commerce grocery apps."
102,Swiggy,"On-demand hyper-local delivery platform matching users with local restaurants, instant grocery networks, and parcel pickup services."
103,Uber Eats,Global online food ordering and delivery platform leveraging independent gig-economy courier drivers to service restaurants.
104,DoorDash,"Leading food delivery app connecting consumers with local restaurants, convenience stores, and pet supply retailers across suburban landscapes."
105,Grubhub,Online and mobile food ordering and delivery marketplace connecting diners with local takeout restaurants in major urban hubs.
106,Chipotle,"Fast-casual restaurant chain specializing in responsibly sourced burritos, tacos, bowls, and fresh Mexican-style ingredients."
107,Dunkin,"Quick-service restaurant chain focusing on baked goods, morning breakfast sandwiches, and high-volume drip coffee sales."
108,Taco Bell,"Fast-food restaurant franchise providing craveable Mexican-inspired menu items like tacos, quesadillas, and commercial value boxes."
109,Kelloggs,"Multinational food company manufacturing ready-to-eat breakfast cereals, toaster pastries, and wholesome snack crackers globally."
110,Danone,"Fresh dairy products enterprise focusing on health-oriented yogurts, plant-based nutritional milks, specialized medical foods, and bottled waters."
111,Mondelez,"Global confectionery power manufacturer managing premier chocolate brands, biscuits, cookies, and powdered beverage mixes."
112,Mars Inc,"Private global pet care and confectionery manufacturer producing leading candy bars, chewing gums, and high-volume pet food brands."
113,Hersheys,"Major North American chocolate manufacturer producing iconic baking ingredients, chocolate bars, syrups, and sweet treats."
114,Red Bull,"Premium functional energy drink brand dominating extreme sports sponsorships, athlete marketing networks, and beverage manufacturing."
115,Monster Energy,"High-volume lifestyle energy beverage brand distributing specialized energy formulations, juice lines, and natural brewing variants."
116,Heineken,"Premium global brewing company producing recognized lager brands, alternative hard ciders, and non-alcoholic beer variants."
117,Anheuser-Busch,"Massive global brewing enterprise managing vast portfolios of standard beer brands, seltzers, and distribution logistics networks."
118,Dabur,"Indian consumer goods enterprise producing natural Ayurvedic healthcare products, personal care items, and pure fruit juices."
119,Marico,"Leading consumer products company specializing in health, beauty, premium edible oils, and coconut-based hair care products."
120,Godrej Consumer,"Emerging markets consumer goods enterprise focused on home insecticides, hair colorants, soaps, and air freshener lines."
121,Tata Consumer,"Integrated food and beverage company distribution network focusing on packaged teas, coffees, mineral waters, salts, and pulses."
122,Mother Dairy,"National dairy company marketing milk, ice creams, cultured dairy products, and frozen fruits under advanced processing cooperatives."
123,Bikanervala,"Traditional Indian sweet manufacturer and restaurant chain delivering traditional authentic snacks, packaging lines, and quick meals."
124,Star Bazaar,"Tata-backed hypermarket chain offering expansive fresh produce sections, general staple groceries, and everyday household necessities."
125,BigBasket,"Indian online grocery market service delivering fresh produce, pantry goods, kitchen staples, and rapid home essentials."
126,Visa,"Global payments technology network facilitating fast digital funds transfers, authorization clearing, and credit/debit card infrastructure."
127,Mastercard,Multinational financial services corporation processing secure merchant payment transactions and issuing consumer credit line access.
128,American Express,"Premium financial institution issuing charge cards, processing travel service payments, and managing global institutional credit lines."
129,JPMorgan Chase,"Global investment bank and financial services holding company managing consumer retail banking, corporate assets, and private wealth wealth management."
130,Goldman Sachs,"Leading global investment banking, securities management, and investment management firm advising corporate institutions."
131,Morgan Stanley,"Global financial services firm advising clients on wealth management, investment banking strategies, and institutional trading fields."
132,HSBC,"Multinational banking and financial services organization managing international wealth, corporate accounts, and commercial investment retail portals."
133,Citi,"Global financial services corporation providing consumer credit cards, retail banking lines, and enterprise cash management services."
134,Bank of America,"Massive consumer retail banking institution offering personal checking, corporate financing, and investment management services."
135,SBI,"State Bank of India, the largest public sector banking and financial services statutory body across the Indian subcontinent."
136,HDFC Bank,"India's largest private sector bank providing personal banking loans, credit lines, wholesale banking services, and digital accounts."
137,ICICI Bank,"Leading private sector Indian bank offering retail loan options, corporate financing accounts, life insurance products, and venture capital."
138,Axis Bank,"Major private banking institution providing comprehensive financial services across retail, corporate, and agricultural credit lines in India."
139,Paytm,"Indian digital ecosystem company offering mobile wallet infrastructure, QR code merchant payments, utility bills, and micro-loans."
140,PhonePe,Digital payments app built on the Unified Payments Interface (UPI) network facilitating digital recharges and money transfers.
141,Google Pay,"Mobile payment wallet platform developed to power contactless smartphone purchases, online checkouts, and peer-to-peer UPI transfers."
142,Razorpay,"Indian payment gateway company enabling businesses to accept, process, and disburse digital payments via API developer suites."
143,Zerodha,"Indian discount brokerage firm offering retail investment infrastructure for stocks, mutual funds, bonds, and derivatives trading tools."
144,Groww,"Digital investment platform allowing retail users to invest in direct mutual funds, domestic stocks, IPOs, and gold options easily."
145,Upstox,"Tech-driven online trading platform providing low-cost brokerage options, financial market charts, and retail investment accounts."
146,Robinhood,"Financial services app facilitating commission-free stock trading, cryptocurrency investing, and fractional share portfolios via accessible mobile designs."
147,Revolut,"Global financial super-app offering multi-currency accounts, instant peer-to-peer money transfers, and digital banking alternatives."
148,Wise,International money transfer platform utilizing local peer networks to bypass standard high-cost cross-border wire processing fees.
149,Berkshire Hathaway,"Diversified holding company investing across insurance underwriting, utility networks, freight rail transit, and equity portfolios."
150,BlackRock,World's largest asset management corporation administering exchange-traded funds (ETFs) via enterprise analytical risk infrastructure.
151,Vanguard,Investment advisor giant pioneering low-cost index mutual funds and retail retirement wealth portfolio management services.
152,Fidelity,"Multinational financial services corporation managing brokerage assets, mutual funds, 401k plans, and retail wealth tools."
153,Charles Schwab,"Savings and loan holding company providing modern wealth brokerage accounts, asset management, and banking lines for individual investors."
154,LIC,"Life Insurance Corporation of India, the dominant state-owned insurance provider managing massive sovereign asset pools and long-term policies."
155,Bajaj Finance,"Non-banking financial company (NBFC) specializing in consumer durable loans, micro-lending schemes, and personal lines of credit."
156,Muthoot Finance,India's largest gold loan NBFC providing instant liquidity options backed by physical gold ornament collateral reserves.
157,Angel One,Traditional stock brokerage firm transitioned into a digital app ecosystem offering technical trading charts and advisory services.
158,PolicyBazaar,"Indian insurance aggregator platform allowing users to view, compare, and purchase life, health, and auto insurance policies online."
159,Cred,Members-only credit card bill payment app rewarding users with premium brand discounts for maintaining high credit scores.
160,KreditBee,Instant personal loan fintech platform targeting young professionals with rapid underwriting and flexible short-term credit options.
161,Tesla,"Electric vehicle manufacturer designing autonomous clean energy cars, grid storage battery systems, and residential solar roof cells."
162,Toyota,"Automotive manufacturing giant famous for lean production systems, durable passenger sedans, and hybrid drivetrain innovations."
163,Volkswagen,"Massive global automotive group managing volume car lines, premium luxury sports brands, and electric vehicle platforms."
164,Ford,"Pioneering automotive enterprise mass-producing commercial pickup trucks, passenger utility vehicles, and electric vehicle fleets."
165,General Motors,"Global automotive manufacturer producing diverse vehicle brands, global trucking lines, and autonomous driving tech suites."
166,Tata Motors,"Indian automotive manufacturing leader producing passenger vehicles, electric cars, and heavy commercial cargo trucks globally."
167,Maruti Suzuki,"India's leading passenger car manufacturer dominating mass-market hatchbacks, family sedans, and compact utility cars."
168,Mahindra & Mahindra,"Indian automotive manufacturer renowned for rugged utility SUVs, commercial agricultural tractors, and electric commercial vehicles."
169,Hyundai,"Global automotive group developing advanced compact cars, family crossovers, and hydrogen fuel cell transport lines."
170,BMW,"Premium luxury automotive manufacturer producing high-performance sports sedans, motorcycles, and upscale electric vehicles."
171,Mercedes-Benz,"High-end luxury vehicle brand focused on passenger cars, executive limousines, advanced driver assistance technologies, and formula racing."
172,Uber,Ride-hailing transport network company matching users with independent on-demand taxi drivers and corporate transit lines.
173,Ola Cabs,Indian multi-mobility ride-sharing platform extending into electric two-wheeler scooter manufacturing and hyper-local transit networks.
174,Lyft,"Ride-hailing service provider coordinating on-demand urban transport lines, shared bikes, and scooter networks across cities."
175,FedEx,Global courier delivery services corporation utilizing dedicated cargo airlines to orchestrate time-sensitive business shipments.
176,UPS,"Global package delivery company managing extensive surface truck networks, supply chain logistics, and business freight transit lines."
177,DHL,International express mail services enterprise facilitating air and ocean freight logistics across worldwide customs boundaries.
178,Delhivery,"Indian supply chain fulfillment logistics company providing express parcel delivery, warehouse management, and business freight routing software."
179,Blue Dart,Indian express courier delivery services company operating dedicated domestic jet aircraft networks for premium package routing.
180,Boeing,"Aerospace manufacturer designing global commercial jetliners, defense defense systems, space launch vehicles, and security tech lines."
181,Airbus,"Multinational aerospace corporation designing commercial aircraft carriers, helicopters, and space communication satellites globally."
182,Maersk,"Integrated container logistics and shipping giant managing massive oceanic cargo fleets, port terminals, and global intermodal freight routing."
183,IndiGo Airlines,"India's largest low-cost passenger airline fleet known for operating punctual, efficient domestic and international flight links."
184,Air India,Tata-owned flag carrier airline operating long-haul international routes and domestic network transit links connecting major cities.
185,Emirates,Premium international airline operator running wide-body global flight links from its central hub infrastructure layouts.
186,Indian Railways,"State-operated statutory body administering one of the largest rail transportation networks, cargo freights, and passenger links globally."
187,Grab,"Southeast Asian super-app providing ride-hailing services, on-demand food delivery, and digital financial payment transactions across metropolitan hubs."
188,Bluedart Express,South Asian air express courier network managing specialized critical inventory delivery lines and cold-chain healthcare logistics.
189,Shiprocket,E-commerce logistics aggregator platform enabling direct-to-consumer digital brands to negotiate and book multiple shipping carrier options via a single API dashboard.
190,Shadowfax,"Hyperlocal on-demand logistics network servicing instant e-commerce order fulfillments, grocery networks, and quick pharmacy distributions."
191,Porter,Intra-city logistics platform enabling users and businesses to book mini-trucks and bike couriers on-demand for moving household goods or cargo.
192,Bounce,Smart mobility startup offering dockless scooter rentals and automated keyless vehicle sharing setups in dense urban grids.
193,Rapido,"Indian bike-taxi aggregator and logistics app providing fast, affordable solo commuter transits through congested traffic corridors."
194,Rivian,"Electric vehicle manufacturer designing off-road adventure trucks, electric delivery vans, and specialized high-capacity highway battery platforms."
195,BYD,"Chinese manufacturing powerhouse specializing in high-volume electric vehicles, battery innovations, mass transit electric buses, and rail networks."
196,SheWears,We will be having an app where girls can purchase their favourite trendy fits and that too in affordable and premium quality.Here we will have a recommendation system also which would help them to style their outfits according to their body type.
197,Aurafurniture,here we will be offering new and multi purpose furnitures for homes and offices. Premium raw material would be used and it would be  a one place stop for all the home furniture offering trendy yet affordable types.
198,MoneyLends,We will provide money to needy and charge interest of 10%per annum.
